number_of_schools,borough,count
1,Bronx,2
1,Brooklyn,11
1,Manhattan,7
1,Queens,15
1,Statenisland,3
2,Bronx,2
2,Brooklyn,4
2,Manhattan,7
2,Queens,6
2,Statenisland,1
3,Bronx,3
3,Brooklyn,3
3,Manhattan,4
3,Queens,4
3,Statenisland,2
4,Bronx,1
4,Brooklyn,3
4,Manhattan,4
4,Queens,4
5,Bronx,3
5,Brooklyn,4
5,Manhattan,1
5,Queens,1
6,Bronx,2
6,Brooklyn,3
6,Manhattan,1
7,Bronx,2
7,Brooklyn,3
8,Bronx,1
8,Manhattan,2
8,Queens,1
9,Bronx,1
9,Brooklyn,1
9,Manhattan,1
10,Bronx,1
11,Bronx,1
11,Brooklyn,1
11,Manhattan,2
12,Bronx,1
12,Queens,1
